Season,Contestant,Age,Height,Hometown,Finish,Place
6,Jade Cole,26,5 ft 10 in (1.78 m),"New York, New York",Episode 13,3
6,Joanie Dodds[12],24,5 ft 9 in (1.75 m),"Beaver Falls, Pennsylvania",,2
6,Danielle Evans[13],20,5 ft 11 in (1.80 m),"Little Rock, Arkansas",,1
7,Christian Evans[2],19,5 ft 10 in (1.78 m),"Columbia, South Carolina",Episode 1,13
7,Megan Morris[3],23,5 ft 11 in (1.80 m),"San Francisco, California",Episode 2,12
7,Monique Calhoun[4],19,5 ft 9.5 in (1.77 m),"Chicago, Illinois",Episode 3,11
7,Megg Morales[5],18,5 ft 10 in (1.78 m),"Los Angeles, California",Episode 4,10
7,A.J. Stewart[6],20,5 ft 11 in (1.80 m),"Sacramento, California",Episode 5,9
7,Brooke Miller[7],18,5 ft 7 in (1.70 m),"Keller, Texas",Episode 6,8
7,Anchal Joseph[8],19,5 ft 11 in (1.80 m),"Homestead, Florida",Episode 8,7
7,Jaeda Young[9],18,6 ft 1 in (1.85 m),"Parkersburg, Iowa",Episode 9,6
7,Michelle Babin[10][a],18,6 ft 0 in (1.83 m),"Anaheim, California",Episode 10,5
7,Amanda Babin[11][a],18,6 ft 0 in (1.83 m),"Anaheim, California",Episode 11,4
7,Eugena Washington[12],21,5 ft 11 in (1.80 m),"Palmdale, California",Episode 12,3
7,Melrose Bickerstaff[13],23,5 ft 9 in (1.75 m),"San Francisco, California",,2
7,CariDee English[14],21,5 ft 11 in (1.80 m),"Fargo, North Dakota",,1
8,Kathleen DuJour[3],20,5 ft 11 in (1.80 m),"Brooklyn, New York",Episode 1,13th
8,Samantha Francis[4],19,5 ft 11 in (1.80 m),"Pinson, Alabama",Episode 2,12th
8,Cassandra Watson[5],24,5 ft 11 in (1.80 m),"Seattle, Washington",Episode 3,11th
8,Felicia Provost[6],19,5 ft 8.5 in (1.74 m),"Houston, Texas",Episode 4,10th
8,Diana Zalewski[7],21,6 ft 1 in (1.85 m),"Garfield, New Jersey",Episode 5,9th
8,Sarah VonderHaar[8],20,5 ft 9 in (1.75 m),"Lake Zurich, Illinois",Episode 6,8th
8,Whitney Cunningham[9],21,5 ft 10 in (1.78 m),"West Palm Beach, Florida",Episode 7,7th
8,Jael Strauss †[10][11],22,5 ft 11 in (1.80 m),"Detroit, Michigan",Episode 8,6th
8,Brittany Hatch[12],21,5 ft 11 in (1.80 m),"Savannah, Georgia",Episode 10,5th
8,Dionne Walters[13],20,5 ft 11 in (1.80 m),"Montgomery, Alabama",Episode 11,4th
8,Renee Alway[14],20,5 ft 11 in (1.80 m),"Maui, Hawaii",Episode 12,3rd
8,Natasha Galkina [15],21,5 ft 9 in (1.75 m),"Dallas, Texas",,2nd
8,Jaslene Gonzalez[16],20,5 ft 8 in (1.73 m),"Chicago, Illinois",,1st
9,Mila Bouzinova,20,5 ft 10 in (1.78 m),"Boston, Massachusetts",Episode 2,13
9,Kimberly Leemans,20,5 ft 11 in (1.80 m),"Ocala, Florida",Episode 3,12
9,Victoria Marshman,20,5 ft 10 in (1.78 m),"New Haven, Connecticut",Episode 4,11
9,Janet Mills,22,5 ft 8 in (1.73 m),"Bainbridge, Georgia",Episode 5,10
9,Ebony Morgan,20,5 ft 11 in (1.80 m),"Chicago, Illinois",Episode 6,9 (quit)
9,Sarah Hartshorne,20,5 ft 10 in (1.78 m),"Heath, Massachusetts",Episode 8,8
9,Ambreal Williams,19,5 ft 11 in (1.80 m),"Dallas, Texas",Episode 9,7
9,Lisa Jackson,20,6 ft 1.5 in (1.87 m),"Jersey City, New Jersey",Episode 10,6
9,Heather Kuzmich,21,6 ft 0 in (1.83 m),"Valparaiso, Indiana",Episode 11,5
9,Bianca Golden,18,5 ft 11 in (1.80 m),"Queens, New York",Episode 12,4
9,Jenah Doucette,18,5 ft 10 in (1.78 m),"Farmington, Connecticut",Episode 13,3
9,Chantal Jones,19,5 ft 11 in (1.80 m),"Austin, Texas",,2
9,Saleisha Stowers,21,5 ft 10 in (1.78 m),"Los Angeles, California",,1
10,Kimberly Rydzewski †,20,5 ft 10 in (1.78 m),"Worcester, Massachusetts",Episode 2,14 (quit)
10,Atalya Slater,18,5 ft 9.5 in (1.77 m),"Brooklyn, New York",,13
10,Allison Kuehn,18,5 ft 11 in (1.80 m),"Waunakee, Wisconsin",Episode 3,12
10,Amis Jenkins,20,5 ft 11 (1.80 m),"Bartlesville, Oklahoma",Episode 4,11
10,Marvita Washington,23,6 ft 0 in (1.83 m),"San Francisco, California",Episode 5,10
10,Aimee Wright,18,5 ft 10 in (1.78 m),"Spanaway, Washington",Episode 6,9
10,Claire Unabia,24,5 ft 9 in (1.75 m),"New York, New York",Episode 7,8
10,Stacy-Ann Fequiere,22,5 ft 10 in (1.78 m),"Miami, Florida",Episode 9,7
10,Lauren Utter,22,6 ft 0 in (1.83 m),"Brooklyn, New York",Episode 10,6
10,Katarzyna Dolinska,22,5 ft 10 in (1.78 m),"Roslyn, New York",Episode 11,5
10,Dominique Reighard,23,5 ft 11 in (1.80 m),"Columbus, Ohio",Episode 12,4
10,Fatima Siad,22,5 ft 11 in (1.80 m),"Boston, Massachusetts",Episode 13,3
10,Anya Kop,18,5 ft 10 in (1.78 m),"Honolulu, Hawaii",,2
10,Whitney Thompson,20,5 ft 10 in (1.78 m),"Atlantic Beach, Florida",,1
11,"Brittany ""Sharaun"" Brown",18,5 ft 10 in (1.78 m),"Chicago, Illinois",Episode 2,14
11,Nikeysha Clarke,19,5 ft 11 in (1.80 m),"Bronx, New York",Episode 3,13
11,Brittany Rubalcaba,19,5 ft 11 in (1.80 m),"Henderson, Nevada",Episode 4,12
11,Hannah White,19,5 ft 9.5 in (1.77 m),"Fairbanks, Alaska",Episode 5,11
11,Isis King,22,5 ft 7 in (1.70 m),"Prince George's County, Maryland",,10
11,Clark Gilmer,19,5 ft 10 in (1.78 m),"Pawleys Island, South Carolina",Episode 6,9
11,Lauren Brie Harding,20,5 ft 8.5 in (1.74 m),"Charlottesville, Virginia",Episode 7,8
11,Joslyn Pennywell,23,6 ft 0 in (1.83 m),"Lucky, Louisiana",Episode 9,7
11,Sheena Sakai,21,5 ft 11 in (1.80 m),"Harlem, New York",Episode 10,6
11,Elina Ivanova,18,5 ft 10 in (1.78 m),"Seattle, Washington",Episode 11,5
11,Marjorie Conrad,19,5 ft 11 in (1.80 m),"San Francisco, California",Episode 12,4
11,Analeigh Tipton,19,5 ft 9.5 in (1.77 m),"Sacramento, California",Episode 13,3
11,Samantha Potter,18,5 ft 11 in (1.80 m),"Woodland Hills, California",,2
11,McKey Sullivan,19,6 ft 0 in (1.83 m),"Lake Forest, Illinois",,1
12,Isabella Falk,19,5 ft 11 in (1.80 m),"Barboursville, Virginia",Episode 2,13
12,Jessica Santiago,18,5 ft 10 in (1.78 m),"Bradenton, Florida",Episode 3,12
12,Nijah Harris,18,6 ft 0 in (1.83 m),"Rancho Cucamonga, California",Episode 4,11
12,Kortnie Coles,24,5 ft 11 in (1.80 m),"Houston, Texas",Episode 5,10
12,Sandra Nyanchoka,19,6 ft 0 in (1.83 m),"Rockville, Maryland",Episode 6,9
12,Tahlia Brookins,18,5 ft 10 in (1.78 m),"Phoenix, Arizona",Episode 7,8
12,London Levi-Nance,18,5 ft 8.5 in (1.74 m),"Arlington, Texas",Episode 9,7
12,Natalie Pack,19,6 ft 0 in (1.83 m),"Palos Verdes, California",Episode 10,6
12,Fo Porter,19,5 ft 8 in (1.73 m),"Albuquerque, New Mexico",Episode 11,5
12,Celia Ammerman,25,5 ft 11 in (1.80 m),"Cynthiana, Kentucky",Episode 12,4
12,Aminat Ayinde,21,6 ft 2 in (1.88 m),"Union, New Jersey",Episode 13,3
12,Allison Harvard,20,5 ft 10 in (1.78 m),"New Orleans, Louisiana",,2
12,Teyona Anderson,20,5 ft 10 in (1.78 m),"Woodstown, New Jersey",,1
13,Amber DePace,18,5 ft 6 in (1.68 m),"Oceanside, California",Episode 1/2,15
13,Lisa Ramos,19,5 ft 5 in (1.65 m),"Queens, New York",Episode 2,14
13,Rachel Echelberger,18,5 ft 5 in (1.65 m),"Woodland, California",Episode 3,13
13,Courtney Davies,22,5 ft 4 in (1.63 m),"Plantation, Florida",,12
13,Lulu Braithwaite,19,5 ft 7 in (1.70 m),"Brooklyn, New York",Episode 4,11
13,Bianca Richardson,21,5 ft 7 in (1.70 m),"Columbia, South Carolina",Episode 5,10
13,Ashley Howard,22,5 ft 6 in (1.68 m),"Chicago, Illinois",Episode 6,9
13,Kara Vincent,18,5 ft 7 in (1.70 m),"Fort Wayne, Indiana",Episode 7,8
13,Rae Weisz,21,5 ft 6 in (1.68 m),"Rochester, Minnesota",Episode 8,7
